country,year,banking,currency,inflation,sovereign_debt,any_crisis,source
Turkey,2016,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Turkey,2017,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Turkey,2018,0,1,0,0,1,Manual: post-2016 (IMF press releases + news)
Turkey,2019,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Turkey,2020,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Turkey,2021,0,1,1,0,1,Manual: post-2016 (IMF press releases + news)
Turkey,2022,0,1,1,0,1,Manual: post-2016 (IMF press releases + news)
Turkey,2023,0,1,1,0,1,Manual: post-2016 (IMF press releases + news)
Turkey,2024,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Zambia,2010,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Zambia,2011,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Zambia,2012,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Zambia,2013,0,1,0,0,1,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Zambia,2014,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Zambia,2015,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Zambia,2016,0,0,1,0,1,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Zambia,2017,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Zambia,2018,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Zambia,2019,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Zambia,2020,0,1,0,1,1,Manual: post-2016 (IMF press releases + news)
Zambia,2021,0,0,0,1,1,Manual: post-2016 (IMF press releases + news)
Zambia,2022,0,0,0,1,1,Manual: post-2016 (IMF press releases + news)
Zambia,2023,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Zambia,2024,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
